LATITUDE LONGITUDE
71.2854 -156.766
70.1947 -148.465
66.8847 -162.599
64.8151 -147.856
64.5122 -165.445
62.060833 -163.301944
61.5816 -159.543
61.1744 -149.996
61.102492 -160.960651
60.90944 -161.43139
60.9029 -161.231
60.7903 -161.444
60.7798 -161.838
60.7029 -161.778
60.6903 -161.979
60.4918 -145.478
60.342643 -162.672666
60.2137 -162.044
59.9608 -162.881
59.8765 -163.169
59.7551 -161.845
59.5033 -139.66
21.5795 -158.197
58.6768 -156.649
58.4253 -135.707
58.355 -134.576
57.75 -152.494
57.1673 -170.22
57.0471 -135.362
56.9591 -158.633
56.8017 -132.945
56.4843 -132.37
55.3556 -131.714
55.315 -160.523
55.2061 -162.725
53.9001 -166.544
52.7123 174.114
51.878 -176.646
48.7928 -122.538
48.3105 -114.256
48.4156 -101.358
48.1202 -123.5
47.963889 -97.401111
47.949167 -97.176111
47.949167 -97.176111
47.482 -111.371
47.449 -122.309
47.3989 -120.207
47.2077 -119.32
46.9163 -114.091
46.9207 -96.8158
46.8421 -92.1936
46.7727 -100.746
46.7439 -117.110001
46.6068000793457 -111.98300170898438
46.5682 -120.544
43.3508 -76.3881
46.3745 -117.015
36.4752 -82.4074
46.0949 -118.288
45.9548 -112.497
45.8077 -108.543
45.7775 -111.153
45.6951 -118.841
45.5404 -122.95
44.90950012 -123.0029984
44.882 -93.2218
44.8074 -68.8281
44.7776 -89.6668
44.7414 -85.5822
44.4851 -88.1296
42.6907 -88.3046
43.3508 -76.3881
44.2541 -121.15
44.1246 -123.212
44.0453 -103.057
43.9844 -88.557
43.908333 -92.5
43.879 -91.2567
43.6462 -70.3093
43.6073 -110.738
43.582 -96.7419
43.5644 -116.223
43.5329 -84.0796
43.513611 -112.070833
43.5044 -114.296
43.417222 -124.262778
43.1695 -86.2382
45.6312 -89.4675
43.1399 -89.3375
43.1189 -77.6724
43.1112 -76.1063
42.965556 -83.743611
42.9472 -87.8966
38.8405 -82.8473
42.932598 -71.435699
42.9098 -112.596
42.908 -106.464
43.3508 -76.3881
42.7787 -84.5874
43.3508 -76.3881
42.5571 -92.4003
43.3508 -76.3881
42.4818 -114.487999
37.3299 -95.5062
42.4026 -96.3844
42.402 -90.7095
42.3742 -122.873
42.3643 -71.0052
42.2673 -71.8757
42.234901428222656 -85.5521011352539
42.2124 -83.3534
42.20869827 -75.97979736
38.8405 -82.8473
42.1599006652832 -76.8916015625
44.5472 -95.0823
42.0831 -80.1739
41.9786 -87.9048
41.9389 -72.6832
41.884694 -91.710806
41.874 -103.596
36.1824 -86.8867
41.786 -87.7524
41.7802 -124.237
41.7326 -71.4204
36.1824 -86.8867
41.5868 -83.8078
41.534 -93.6631
41.50410079956055 -74.10479736328125
41.4485 -90.5075
41.4117 -81.8498
36.2228 -81.0983
41.3032 -95.8941
41.2637 -72.8868
41.2607 -80.6791
41.067 -73.7076
40.9785 -85.1951
40.978101 -124.109
40.9161 -81.4422
38.9092 -121.351
40.8493 -77.8487
36.1824 -86.8867
40.7952 -73.1002
40.7884 -111.978
42.6907 -88.3046
40.7772 -73.8726
40.6925 -74.1687
